stationID,identificationtype,socketID,lat,lon,vicinity,connectortype,chargingcapability,chargingtime,activetime,utilization,traffic500,traffic750,traffic1000,avg_utilization,IDtypeDens2,traffic250,centerDist,logCenterDist,accounting,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bus_station,cafe,car_dealer,car_rental,car_repair,clothing_store,dentist,doctor,electronics_store,establishment,finance,florist,food,furniture_store,gas_station,general_contractor,grocery_or_supermarket,gym,hair_care,health,home_goods_store,hospital,jewelry_store,laundry,lawyer,library,liquor_store,lodging,meal_takeaway,moving_company,museum,painter,park,parking,pharmacy,physiotherapist,place_of_worship,plumber,post_office,real_estate_agency,restaurant,school,shoe_store,store,travel_agency,PopDens,LogIncPP,CarDens
EM-NL-00000363-06-00010,2,BB-1070-6,52.396563,4.939057,Buikslotermeer,10,3,21.1701388888889,126.314583333333,0.167598533203587,0,1,1,0.122858795692933,13.3074053244638,0,4.17825463656177,1.64446805674473,1.72442524621757,0.371809369937871,9.35530934355938,3.10196250476162,4.51533344754748,0.0,8.79647068716711,1.48781539706053,1.80730546611626,29.9730132217675,4.05720723335844,0.56842204210316,0.804064136280512,0.38239129874151,4.89246691149215,1.53479108228997,5.03820968193807,7.14657767396157,297.347124747331,17.4537531442346,2.38539120388478,23.9922651128479,2.60353591744865,2.71880339946631,1.78076596672312,5.2668986212511,0.262846383761533,0.0,47.1185079140261,2.36860117929491,3.04581109774853,3.05255968804777,0.952908427656664,1.24056094161068,0.586892371038708,1.44819326669484,1.55177119681501,0.957541237064773,0.0,2.76573236117228,1.58953779518751,0.740979495190322,5.30068325441271,1.92795279828778,3.32725793240328,0.49314490861364,1.62305702570304,4.83824588707916,0.973169000889547,7.89140678424215,15.9888662853392,7.90440573830485,91.3548800564541,3.63792831654315,3667,2.9231615807191558,1076
EM-NL-00000363-06-00010,2,BB-1070-6,52.396563,4.939057,Buikslotermeer,10,4,21.1701388888889,126.314583333333,0.167598533203587,0,1,1,0.122858795692933,13.3074053244638,0,4.17825463656177,1.64446805674473,1.72442524621757,0.371809369937871,9.35530934355938,3.10196250476162,4.51533344754748,0.0,8.79647068716711,1.48781539706053,1.80730546611626,29.9730132217675,4.05720723335844,0.56842204210316,0.804064136280512,0.38239129874151,4.89246691149215,1.53479108228997,5.03820968193807,7.14657767396157,297.347124747331,17.4537531442346,2.38539120388478,23.9922651128479,2.60353591744865,2.71880339946631,1.78076596672312,5.2668986212511,0.262846383761533,0.0,47.1185079140261,2.36860117929491,3.04581109774853,3.05255968804777,0.952908427656664,1.24056094161068,0.586892371038708,1.44819326669484,1.55177119681501,0.957541237064773,0.0,2.76573236117228,1.58953779518751,0.740979495190322,5.30068325441271,1.92795279828778,3.32725793240328,0.49314490861364,1.62305702570304,4.83824588707916,0.973169000889547,7.89140678424215,15.9888662853392,7.90440573830485,91.3548800564541,3.63792831654315,3667,2.9231615807191558,1076
EM-NL-00000363-06-00009,2,BA-9402-7,52.397581,4.94359,Buikslotermeer,10,3,18.2645833333333,130.358333333333,0.140110592597328,0,0,1,0.204029052518883,12.7140455075145,0,4.47898583294713,1.70092001685246,1.90639634342484,0.394123104387382,9.03021042809068,2.79603335123485,3.90689722131588,0.0,9.06474180033237,0.928389927420624,1.43479664786676,29.1137775132993,2.94244970622059,0.706709245272651,0.621361303590609,0.597103617156202,4.26557105953446,2.10651066095556,5.89689772910223,6.46000684369508,252.059879001129,16.019366058533,2.63113407072571,21.0803346096788,2.85432532092299,2.6837326433887,2.34465310568437,5.25768149924697,0.0,0.0,43.3469703505982,2.00992964629767,2.74876830019252,2.81221523154786,0.775606391898587,0.984822796196642,1.25782955281215,1.49833434735135,0.954819103995122,0.785310040299118,0.0,2.33267778399596,2.01214524075783,0.974657555925273,4.27338800955153,2.01944590304678,4.35180189393989,0.0026887213160186,1.60163207468753,4.28133790691783,0.951972623674085,5.90310589240491,14.7438837967214,7.01659771560534,84.9571250215327,3.56782188316858,3667,2.9231615807191558,1076
EM-NL-00000363-06-00009,2,BA-8994-4,52.397581,4.94359,Buikslotermeer,10,3,35.2243055555556,131.459722222222,0.267947512440439,0,0,1,0.204029052518883,12.7140455075145,0,4.47898583294713,1.70092001685246,1.90639634342484,0.394123104387382,9.03021042809068,2.79603335123485,3.90689722131588,0.0,9.06474180033237,0.928389927420624,1.43479664786676,29.1137775132993,2.94244970622059,0.706709245272651,0.621361303590609,0.597103617156202,4.26557105953446,2.10651066095556,5.89689772910223,6.46000684369508,252.059879001129,16.019366058533,2.63113407072571,21.0803346096788,2.85432532092299,2.6837326433887,2.34465310568437,5.25768149924697,0.0,0.0,43.3469703505982,2.00992964629767,2.74876830019252,2.81221523154786,0.775606391898587,0.984822796196642,1.25782955281215,1.49833434735135,0.954819103995122,0.785310040299118,0.0,2.33267778399596,2.01214524075783,0.974657555925273,4.27338800955153,2.01944590304678,4.35180189393989,0.0026887213160186,1.60163207468753,4.28133790691783,0.951972623674085,5.90310589240491,14.7438837967214,7.01659771560534,84.9571250215327,3.56782188316858,3667,2.9231615807191558,1076
NL-0000-VAT-809,2,NL-0000-VAT-809_1,52.3985289,4.9339451,Buikslotermeer,10,3,43.5194444444444,137.863194444444,0.31567123204868,1,1,1,0.219312974169922,10.0557904292607,0,4.10358938191382,1.6299440925542,0.963297700814287,0.0,8.26103425399893,2.57984984954584,4.38421508031831,0.0,7.25577721062684,1.44618180786777,1.91819369277983,28.3966670846981,3.93889090426255,0.917913890062156,0.398330720122881,0.0,4.40200274195394,0.710351244376023,3.48281719662618,6.42011845986481,253.003935352431,14.7163024939305,1.60519426314738,20.6974833404489,1.90469715962209,2.40032921581539,1.84268516129698,4.10932899142996,0.769407235412368,0.0,41.1973328484738,2.43565627119511,3.36368801976767,2.60338998188786,1.01627819621288,1.28445641510808,0.0,0.786209356537736,1.56157116632762,0.928654303844673,0.0,1.95864654676949,0.898557839667304,0.306385920747052,5.10524439346891,1.33673026890656,2.15452660815604,0.717246977035336,1.56728646896771,4.25331026555891,0.737219393606808,7.6414799644989,17.5107817578607,7.08836167670602,81.2100872845019,3.71779880222543,3667,2.9231615807191558,1076
EM-NL-00000363-06-00006,2,BA-3066-8,52.401097,4.932926,Buikslotermeer,10,3,20.0986111111111,144.2875,0.139295580775265,1,1,1,0.11228644194977,7.14639071935137,1,4.28478705799096,1.66483232673959,0.843781437265929,0.0,6.61549540592543,2.17603532877729,3.65182835366646,0.0,6.97066083358222,0.934577454912323,1.65848620506433,23.9030648044316,3.78374686601976,1.3238675705792,0.0,0.0601809591643316,3.68319943543059,0.582790968713102,3.20589328362814,5.5394029808799,200.989481690126,11.650012821847,1.2813500598177,17.3858187808095,1.61338697952687,2.02101994882898,2.0809492883951,3.13051934261137,0.956117249511077,0.0,38.9469663436199,2.26859775603325,3.37696130183573,2.13850113682684,0.752737959989778,1.02392244110756,0.0,0.535517486686508,1.06767482817963,0.74230668744271,0.0879156794550901,1.46202129935112,0.293777207799431,0.0892320179563909,3.97635030948496,1.51387660248092,2.27879088768969,0.438678750757358,0.867205030390362,3.20968852013322,0.503538162217005,6.12931505485021,16.8502487630771,5.88030050991719,68.9021818239725,3.78341982304497,3667,2.9231615807191558,1076
EM-NL-00000363-06-00011,2,BB-1230-1,52.40188,4.94653,Buikslotermeer,10,3,15.5159722222222,162.884722222222,0.095257382095381,0,1,1,0.0710526365587568,8.00637116116005,0,4.95472354147569,1.78418477712435,1.10359241827688,0.0,5.39048499087334,1.49013223956086,2.16374925969586,0.0,4.80633039852859,0.480693861737942,0.702105025559353,19.4398765465561,1.26709341404152,1.25806515510847,0.0,0.046917918302903,2.27919027622436,1.45281231495463,3.61381251215234,3.85223561753309,130.656563395797,8.63300069609705,1.16601517348158,11.5431140427545,1.76421240763669,1.94479255091572,2.56080968664974,3.10462088635606,0.0,0.0,27.2257670502947,1.15692564840502,2.46951671102906,1.53832834684993,0.351923787410961,0.92098004835164,0.538102532778385,0.453095248034227,0.623430918229833,0.358986315338628,0.0,1.01679984889015,1.56592189275607,0.745979602255766,1.88669911880935,1.25008119805324,3.04097711896857,0.0,0.83304330189377,2.16791317351942,0.545614458766984,2.85612559357281,11.7225179053751,3.78097377605698,49.2343457530783,1.62477332063507,3667,2.9231615807191558,1076
EM-NL-00000363-06-00011,2,BB-1230-1,52.40188,4.94653,Buikslotermeer,10,4,15.5159722222222,162.884722222222,0.095257382095381,0,1,1,0.0710526365587568,8.00637116116005,0,4.95472354147569,1.78418477712435,1.10359241827688,0.0,5.39048499087334,1.49013223956086,2.16374925969586,0.0,4.80633039852859,0.480693861737942,0.702105025559353,19.4398765465561,1.26709341404152,1.25806515510847,0.0,0.046917918302903,2.27919027622436,1.45281231495463,3.61381251215234,3.85223561753309,130.656563395797,8.63300069609705,1.16601517348158,11.5431140427545,1.76421240763669,1.94479255091572,2.56080968664974,3.10462088635606,0.0,0.0,27.2257670502947,1.15692564840502,2.46951671102906,1.53832834684993,0.351923787410961,0.92098004835164,0.538102532778385,0.453095248034227,0.623430918229833,0.358986315338628,0.0,1.01679984889015,1.56592189275607,0.745979602255766,1.88669911880935,1.25008119805324,3.04097711896857,0.0,0.83304330189377,2.16791317351942,0.545614458766984,2.85612559357281,11.7225179053751,3.78097377605698,49.2343457530783,1.62477332063507,3667,2.9231615807191558,1076
EM-NL-00000363-06-00006,2,BA-3665-1,52.401097,4.932926,Buikslotermeer,10,3,14.0361111111111,164.59375,0.0852773031242748,1,1,1,0.11228644194977,7.14639071935137,1,4.28478705799096,1.66483232673959,0.843781437265929,0.0,6.61549540592543,2.17603532877729,3.65182835366646,0.0,6.97066083358222,0.934577454912323,1.65848620506433,23.9030648044316,3.78374686601976,1.3238675705792,0.0,0.0601809591643316,3.68319943543059,0.582790968713102,3.20589328362814,5.5394029808799,200.989481690126,11.650012821847,1.2813500598177,17.3858187808095,1.61338697952687,2.02101994882898,2.0809492883951,3.13051934261137,0.956117249511077,0.0,38.9469663436199,2.26859775603325,3.37696130183573,2.13850113682684,0.752737959989778,1.02392244110756,0.0,0.535517486686508,1.06767482817963,0.74230668744271,0.0879156794550901,1.46202129935112,0.293777207799431,0.0892320179563909,3.97635030948496,1.51387660248092,2.27879088768969,0.438678750757358,0.867205030390362,3.20968852013322,0.503538162217005,6.12931505485021,16.8502487630771,5.88030050991719,68.9021818239725,3.78341982304497,3667,2.9231615807191558,1076
NL-0000-VAT-809,2,NL-0000-VAT-809_2,52.3985289,4.9339451,Buikslotermeer,10,3,21.0145833333333,170.913194444444,0.122954716291165,1,1,1,0.219312974169922,10.0557904292607,0,4.10358938191382,1.6299440925542,0.963297700814287,0.0,8.26103425399893,2.57984984954584,4.38421508031831,0.0,7.25577721062684,1.44618180786777,1.91819369277983,28.3966670846981,3.93889090426255,0.917913890062156,0.398330720122881,0.0,4.40200274195394,0.710351244376023,3.48281719662618,6.42011845986481,253.003935352431,14.7163024939305,1.60519426314738,20.6974833404489,1.90469715962209,2.40032921581539,1.84268516129698,4.10932899142996,0.769407235412368,0.0,41.1973328484738,2.43565627119511,3.36368801976767,2.60338998188786,1.01627819621288,1.28445641510808,0.0,0.786209356537736,1.56157116632762,0.928654303844673,0.0,1.95864654676949,0.898557839667304,0.306385920747052,5.10524439346891,1.33673026890656,2.15452660815604,0.717246977035336,1.56728646896771,4.25331026555891,0.737219393606808,7.6414799644989,17.5107817578607,7.08836167670602,81.2100872845019,3.71779880222543,3667,2.9231615807191558,1076
